acr_repo,ecr_repo,tag,in_acr,in_ecr,status
"airflow","airflow","2.9.3_20260316.506",true,true,MATCH
"airflow","airflow","2.9.3_20260318.507",true,true,MATCH
"airflow","airflow","2.9.3_20260318.508",true,true,MATCH
"airflow","airflow","2.9.3_20260411.509",true,true,MATCH
"airflow","airflow","2.9.3_20260411.511",true,true,MATCH
"airflow","airflow","2.9.3_20260415.512",true,true,MATCH
"airflow","airflow","2.9.3_20260419.514",true,true,MATCH
"airflow","airflow","2.9.3_20260421.515",true,true,MATCH
"airflow","airflow","2.9.3_20260504.516",true,true,MATCH
"airflow","airflow","2.9.3_20260504.517",true,true,MATCH
"airflow","airflow","2.9.3_20260504.518",true,true,MATCH
"airflow","airflow","2.9.3_20260507.519",true,true,MATCH
"airflow","airflow","2.9.3_20260507.520",true,true,MATCH
"airflow","airflow","2.9.3_20260507.521",true,true,MATCH
"[SUMMARY]","airflow","airflow","ACR=66","ECR=66","MATCH=66 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"alertmanager","alertmanager","v0.21.0",true,true,MATCH
"[SUMMARY]","alertmanager","alertmanager","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"alpine","alpine","latest",true,true,MATCH
"[SUMMARY]","alpine","alpine","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"backstage","backstage","2025.09.16.73",true,true,MATCH
"backstage","backstage","2025.09.16.74",true,true,MATCH
"backstage","backstage","2025.09.18.75",true,true,MATCH
"backstage","backstage","2025.09.18.76",true,true,MATCH
"backstage","backstage","2025.09.18.77",true,true,MATCH
"backstage","backstage","2025.09.18.78",true,true,MATCH
"backstage","backstage","2025.09.19.79",true,true,MATCH
"backstage","backstage","2025.10.06.80",true,true,MATCH
"backstage","backstage","2025.10.06.81",true,true,MATCH
"backstage","backstage","2025.10.06.82",true,true,MATCH
"backstage","backstage","2025.10.06.83",true,true,MATCH
"backstage","backstage","2025.10.07.84",true,true,MATCH
"backstage","backstage","2025.10.07.85",true,true,MATCH
"backstage","backstage","2025.10.07.86",true,true,MATCH
"backstage","backstage","2025.10.07.87",true,true,MATCH
"backstage","backstage","2025.10.07.88",true,true,MATCH
"backstage","backstage","2025.10.07.89",true,true,MATCH
"backstage","backstage","2025.10.07.90",true,true,MATCH
"backstage","backstage","2025.10.07.91",true,true,MATCH
"backstage","backstage","2025.10.07.92",true,true,MATCH
"backstage","backstage","2025.10.07.93",true,true,MATCH
"backstage","backstage","2025.10.28.94",true,true,MATCH
"backstage","backstage","2025.10.29.100",true,true,MATCH
"backstage","backstage","2025.10.29.102",true,true,MATCH
"backstage","backstage","2025.10.29.103",true,true,MATCH
"backstage","backstage","2025.10.29.95",true,true,MATCH
"backstage","backstage","2025.10.29.97",true,true,MATCH
"backstage","backstage","2025.10.29.98",true,true,MATCH
"backstage","backstage","2025.10.29.99",true,true,MATCH
"backstage","backstage","2025.11.11.104",true,true,MATCH
"backstage","backstage","2025.11.11.105",true,true,MATCH
"backstage","backstage","2025.11.11.106",true,true,MATCH
"backstage","backstage","2025.11.12.107",true,true,MATCH
"backstage","backstage","2025.11.14.108",true,true,MATCH
"backstage","backstage","2025.11.14.109",true,true,MATCH
"backstage","backstage","2025.11.15.112",true,true,MATCH
"backstage","backstage","2026.01.27.113",true,true,MATCH
"backstage","backstage","2026.01.27.114",true,true,MATCH
"backstage","backstage","2026.01.27.115",true,true,MATCH
"backstage","backstage","2026.01.27.116",true,true,MATCH
"backstage","backstage","2026.01.27.117",true,true,MATCH
"backstage","backstage","2026.01.27.118",true,true,MATCH
"backstage","backstage","2026.01.28.119",true,true,MATCH
"backstage","backstage","2026.01.28.120",true,true,MATCH
"backstage","backstage","2026.01.29.121",true,true,MATCH
"backstage","backstage","2026.01.29.122",true,true,MATCH
"backstage","backstage","2026.01.29.123",true,true,MATCH
"backstage","backstage","2026.01.29.124",true,true,MATCH
"backstage","backstage","2026.03.16.125",true,true,MATCH
"backstage","backstage","2026.03.16.126",true,true,MATCH
"backstage","backstage","2026.03.16.127",true,true,MATCH
"backstage","backstage","2026.03.16.128",true,true,MATCH
"backstage","backstage","2026.03.17.131",true,true,MATCH
"backstage","backstage","2026.03.17.132",true,true,MATCH
"backstage","backstage","2026.03.17.133",true,true,MATCH
"backstage","backstage","2026.03.17.134",true,true,MATCH
"backstage","backstage","2026.03.22.138",true,true,MATCH
"backstage","backstage","2026.03.25.141",true,true,MATCH
"backstage","backstage","2026.03.27.144",true,true,MATCH
"backstage","backstage","2026.04.27.145",true,true,MATCH
"[SUMMARY]","backstage","backstage","ACR=60","ECR=60","MATCH=60 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"bitnami/rabbitmq","bitnami/rabbitmq","3.12.7",true,true,MATCH
"[SUMMARY]","bitnami/rabbitmq","bitnami/rabbitmq","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"busybox","busybox","1.28",true,true,MATCH
"[SUMMARY]","busybox","busybox","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"camunda/zeebe","camunda/zeebe","8.2.29",true,true,MATCH
"[SUMMARY]","camunda/zeebe","camunda/zeebe","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/baobab-backend","helm/baobab-backend","0.1.0",true,true,MATCH
"helm/baobab-backend","helm/baobab-backend","0.2.0",true,true,MATCH
"helm/baobab-backend","helm/baobab-backend","0.2.1",true,true,MATCH
"helm/baobab-backend","helm/baobab-backend","latest",true,true,MATCH
"[SUMMARY]","helm/baobab-backend","helm/baobab-backend","ACR=4","ECR=4","MATCH=4 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/client-management","helm/client-management","0.1.4",true,true,MATCH
"helm/client-management","helm/client-management","latest",true,true,MATCH
"[SUMMARY]","helm/client-management","helm/client-management","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/couchbase-dependencies","helm/couchbase-dependencies","0.2.1",true,true,MATCH
"helm/couchbase-dependencies","helm/couchbase-dependencies","0.2.2",true,true,MATCH
"helm/couchbase-dependencies","helm/couchbase-dependencies","0.2.3",true,true,MATCH
"helm/couchbase-dependencies","helm/couchbase-dependencies","0.2.4",true,true,MATCH
"helm/couchbase-dependencies","helm/couchbase-dependencies","latest",true,true,MATCH
"[SUMMARY]","helm/couchbase-dependencies","helm/couchbase-dependencies","ACR=5","ECR=5","MATCH=5 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/duma","helm/duma","0.1.3",true,true,MATCH
"helm/duma","helm/duma","0.1.6",true,true,MATCH
"helm/duma","helm/duma","latest",true,true,MATCH
"[SUMMARY]","helm/duma","helm/duma","ACR=3","ECR=3","MATCH=3 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/fineract-backend","helm/fineract-backend","0.2.45",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.46",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.47",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.48",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.49",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.50",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.51",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.52",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.53",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.54",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.55",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.56",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.57",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.58",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.2.59",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.3.1",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.3.2",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.3.3",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.3.4",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","0.3.5",true,true,MATCH
"helm/fineract-backend","helm/fineract-backend","latest",true,true,MATCH
"[SUMMARY]","helm/fineract-backend","helm/fineract-backend","ACR=21","ECR=21","MATCH=21 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/fineract-frontend","helm/fineract-frontend","0.1.12",true,true,MATCH
"helm/fineract-frontend","helm/fineract-frontend","0.1.13",true,true,MATCH
"helm/fineract-frontend","helm/fineract-frontend","0.1.14",true,true,MATCH
"helm/fineract-frontend","helm/fineract-frontend","0.1.15",true,true,MATCH
"helm/fineract-frontend","helm/fineract-frontend","0.1.16",true,true,MATCH
"helm/fineract-frontend","helm/fineract-frontend","latest",true,true,MATCH
"[SUMMARY]","helm/fineract-frontend","helm/fineract-frontend","ACR=6","ECR=6","MATCH=6 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/log-app","helm/log-app","1.0.24",true,true,MATCH
"helm/log-app","helm/log-app","1.0.25",true,true,MATCH
"helm/log-app","helm/log-app","1.0.26",true,true,MATCH
"helm/log-app","helm/log-app","latest",true,true,MATCH
"[SUMMARY]","helm/log-app","helm/log-app","ACR=4","ECR=4","MATCH=4 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/msgateway-2","helm/msgateway-2","2.8.0",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.1",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.2",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.3",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.4",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.5",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.6",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.7",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.8",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.8.9",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.0",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.1",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.2",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.3",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.4",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.5",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.6",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.7",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","2.9.8",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.0",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.1",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.2",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.3",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.5",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.6",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.7",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.8",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","3.0.9",true,true,MATCH
"helm/msgateway-2","helm/msgateway-2","latest",true,true,MATCH
"[SUMMARY]","helm/msgateway-2","helm/msgateway-2","ACR=29","ECR=29","MATCH=29 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/oaf-odoo-data-migration","helm/oaf-odoo-data-migration","0.1.0",true,true,MATCH
"helm/oaf-odoo-data-migration","helm/oaf-odoo-data-migration","0.1.1",true,true,MATCH
"helm/oaf-odoo-data-migration","helm/oaf-odoo-data-migration","latest",true,true,MATCH
"[SUMMARY]","helm/oaf-odoo-data-migration","helm/oaf-odoo-data-migration","ACR=3","ECR=3","MATCH=3 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/offline-writes","helm/offline-writes","0.4.2",true,true,MATCH
"helm/offline-writes","helm/offline-writes","0.4.3",true,true,MATCH
"helm/offline-writes","helm/offline-writes","0.4.4",true,true,MATCH
"helm/offline-writes","helm/offline-writes","0.4.6",true,true,MATCH
"helm/offline-writes","helm/offline-writes","0.4.8",true,true,MATCH
"helm/offline-writes","helm/offline-writes","latest",true,true,MATCH
"[SUMMARY]","helm/offline-writes","helm/offline-writes","ACR=6","ECR=6","MATCH=6 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/otpgateway","helm/otpgateway","0.1.0",true,true,MATCH
"helm/otpgateway","helm/otpgateway","0.1.1",true,true,MATCH
"helm/otpgateway","helm/otpgateway","0.1.2",true,true,MATCH
"helm/otpgateway","helm/otpgateway","latest",true,true,MATCH
"[SUMMARY]","helm/otpgateway","helm/otpgateway","ACR=4","ECR=4","MATCH=4 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/ou-api-service","helm/ou-api-service","0.2.5",true,true,MATCH
"helm/ou-api-service","helm/ou-api-service","0.2.8",true,true,MATCH
"helm/ou-api-service","helm/ou-api-service","latest",true,true,MATCH
"[SUMMARY]","helm/ou-api-service","helm/ou-api-service","ACR=3","ECR=3","MATCH=3 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/pesa","helm/pesa","3.0.2",true,true,MATCH
"helm/pesa","helm/pesa","3.0.3",true,true,MATCH
"helm/pesa","helm/pesa","3.0.4",true,true,MATCH
"helm/pesa","helm/pesa","3.0.5",true,true,MATCH
"helm/pesa","helm/pesa","latest",true,true,MATCH
"[SUMMARY]","helm/pesa","helm/pesa","ACR=5","ECR=5","MATCH=5 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/ph-ee-engine","helm/ph-ee-engine","1.1.6",true,true,MATCH
"helm/ph-ee-engine","helm/ph-ee-engine","1.1.7",true,true,MATCH
"helm/ph-ee-engine","helm/ph-ee-engine","latest",true,true,MATCH
"[SUMMARY]","helm/ph-ee-engine","helm/ph-ee-engine","ACR=3","ECR=3","MATCH=3 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/shs","helm/shs","0.3.10",true,true,MATCH
"helm/shs","helm/shs","0.3.4",true,true,MATCH
"helm/shs","helm/shs","0.3.5",true,true,MATCH
"helm/shs","helm/shs","0.3.7",true,true,MATCH
"helm/shs","helm/shs","0.3.8",true,true,MATCH
"helm/shs","helm/shs","0.3.9",true,true,MATCH
"helm/shs","helm/shs","latest",true,true,MATCH
"[SUMMARY]","helm/shs","helm/shs","ACR=7","ECR=7","MATCH=7 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/tax-signature","helm/tax-signature","0.3.4",true,true,MATCH
"helm/tax-signature","helm/tax-signature","0.3.5",true,true,MATCH
"helm/tax-signature","helm/tax-signature","latest",true,true,MATCH
"[SUMMARY]","helm/tax-signature","helm/tax-signature","ACR=3","ECR=3","MATCH=3 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"helm/timiza","helm/timiza","0.1.2",true,true,MATCH
"helm/timiza","helm/timiza","0.1.3",true,true,MATCH
"helm/timiza","helm/timiza","0.1.4",true,true,MATCH
"helm/timiza","helm/timiza","latest",true,true,MATCH
"[SUMMARY]","helm/timiza","helm/timiza","ACR=4","ECR=4","MATCH=4 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/defaultbackend-amd64","infra/defaultbackend-amd64","1.5",true,true,MATCH
"[SUMMARY]","infra/defaultbackend-amd64","infra/defaultbackend-amd64","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ghcr.io/dexidp/dex","infra/ghcr.io/dexidp/dex","v2.43.1",true,true,MATCH
"[SUMMARY]","infra/ghcr.io/dexidp/dex","infra/ghcr.io/dexidp/dex","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/http-base","infra/http-base","latest",true,true,MATCH
"[SUMMARY]","infra/http-base","infra/http-base","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ingress-nginx/controller","infra/ingress-nginx/controller","v1.11.2",true,true,MATCH
"infra/ingress-nginx/controller","infra/ingress-nginx/controller","v1.3.0",true,true,MATCH
"[SUMMARY]","infra/ingress-nginx/controller","infra/ingress-nginx/controller","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ingress-nginx/custom-error-pages","infra/ingress-nginx/custom-error-pages","v1.0.2",true,true,MATCH
"[SUMMARY]","infra/ingress-nginx/custom-error-pages","infra/ingress-nginx/custom-error-pages","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ingress-nginx/kube-webhook-certgen","infra/ingress-nginx/kube-webhook-certgen","v1.3.0",true,true,MATCH
"infra/ingress-nginx/kube-webhook-certgen","infra/ingress-nginx/kube-webhook-certgen","v1.4.3",true,true,MATCH
"[SUMMARY]","infra/ingress-nginx/kube-webhook-certgen","infra/ingress-nginx/kube-webhook-certgen","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ito-cluster06","infra/ito-cluster06","1.0",true,true,MATCH
"infra/ito-cluster06","infra/ito-cluster06","2.0",true,true,MATCH
"[SUMMARY]","infra/ito-cluster06","infra/ito-cluster06","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/ito-kubeclient","infra/ito-kubeclient","latest",true,true,MATCH
"[SUMMARY]","infra/ito-kubeclient","infra/ito-kubeclient","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/k8s-zabbix","infra/k8s-zabbix","latest",true,true,MATCH
"[SUMMARY]","infra/k8s-zabbix","infra/k8s-zabbix","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/kiwigrid/k8s-sidecar","infra/kiwigrid/k8s-sidecar","1.30.10",true,true,MATCH
"[SUMMARY]","infra/kiwigrid/k8s-sidecar","infra/kiwigrid/k8s-sidecar","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/konga","infra/konga","latest",true,true,MATCH
"[SUMMARY]","infra/konga","infra/konga","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/kube-state-metrics/kube-state-metrics","infra/kube-state-metrics/kube-state-metrics","v1.9.8",true,true,MATCH
"[SUMMARY]","infra/kube-state-metrics/kube-state-metrics","infra/kube-state-metrics/kube-state-metrics","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/mcr.microsoft.com/hello-world","infra/mcr.microsoft.com/hello-world","latest",true,true,MATCH
"[SUMMARY]","infra/mcr.microsoft.com/hello-world","infra/mcr.microsoft.com/hello-world","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi","infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi","latest",true,true,MATCH
"[SUMMARY]","infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi","infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/nginx-base","infra/nginx-base","latest",true,true,MATCH
"[SUMMARY]","infra/nginx-base","infra/nginx-base","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-certbot-godaddy","infra/oaf-certbot-godaddy","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-certbot-godaddy","infra/oaf-certbot-godaddy","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-ipsec-1sbnk","infra/oaf-ipsec-1sbnk","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-ipsec-1sbnk","infra/oaf-ipsec-1sbnk","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-ipsec-server","infra/oaf-ipsec-server","latest",true,true,MATCH
"infra/oaf-ipsec-server","infra/oaf-ipsec-server","v1",true,true,MATCH
"[SUMMARY]","infra/oaf-ipsec-server","infra/oaf-ipsec-server","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-kong-ingress-controller","infra/oaf-kong-ingress-controller","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-kong-ingress-controller","infra/oaf-kong-ingress-controller","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-kong-proxy","infra/oaf-kong-proxy","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-kong-proxy","infra/oaf-kong-proxy","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-nc-listener","infra/oaf-nc-listener","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-nc-listener","infra/oaf-nc-listener","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-oauth-receipts","infra/oaf-oauth-receipts","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-oauth-receipts","infra/oaf-oauth-receipts","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-postgres","infra/oaf-postgres","latest",true,true,MATCH
"infra/oaf-postgres","infra/oaf-postgres","v1",true,true,MATCH
"[SUMMARY]","infra/oaf-postgres","infra/oaf-postgres","ACR=2","ECR=2","MATCH=2 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-stunnel","infra/oaf-stunnel","1.0",true,true,MATCH
"[SUMMARY]","infra/oaf-stunnel","infra/oaf-stunnel","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-zabbix-apache","infra/oaf-zabbix-apache","latest",true,true,MATCH
"[SUMMARY]","infra/oaf-zabbix-apache","infra/oaf-zabbix-apache","ACR=1","ECR=1","MATCH=1 | MISSING_IN_ECR=0 | ECR_ONLY=0"
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","11964",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","11970",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","11975",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","11983",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12091",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12152",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12153",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12170",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12177",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12178",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12181",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12182",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12183",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12184",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12185",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12186",true,true,MATCH
"infra/oaf-zabbix-api","infra/oaf-zabbix-api","12187",true,true,MATCH
